DATE,VALUE
1999-01,0.0463
1999-02,0.0476
1999-03,0.0481
1999-04,0.0474
1999-05,0.0474
1999-06,0.0476
1999-07,0.0499
1999-08,0.0507
1999-09,0.0522
1999-10,0.052
1999-11,0.0542
1999-12,0.053
2000-01,0.0545
2000-02,0.0573
2000-03,0.0585
2000-04,0.0602
2000-05,0.0627
2000-06,0.0653
2000-07,0.0654
2000-08,0.065
2000-09,0.0652
2000-10,0.0651
2000-11,0.0651
2000-12,0.064
2001-01,0.0598
2001-02,0.0549
2001-03,0.0531
2001-04,0.048
2001-05,0.0421
2001-06,0.0397
2001-07,0.0377
2001-08,0.0365
2001-09,0.0307
2001-10,0.0249
2001-11,0.0209
2001-12,0.0182
2002-01,0.0173
2002-02,0.0174
2002-03,0.0173
2002-04,0.0175
2002-05,0.0175
2002-06,0.0175
2002-07,0.0173
2002-08,0.0174
2002-09,0.0175
2002-10,0.0175
2002-11,0.0134
2002-12,0.0124
2003-01,0.0124
2003-02,0.0126
2003-03,0.0125
2003-04,0.0126
2003-05,0.0126
2003-06,0.0122
2003-07,0.0101
2003-08,0.0103
2003-09,0.0101
2003-10,0.0101
2003-11,0.01
2003-12,0.0098
2004-01,0.01
2004-02,0.0101
2004-03,0.01
2004-04,0.01
2004-05,0.01
2004-06,0.0103
2004-07,0.0126
2004-08,0.0143
2004-09,0.0161
2004-10,0.0176
2004-11,0.0193
2004-12,0.0216
2005-01,0.0228
2005-02,0.025
2005-03,0.0263
2005-04,0.0279
2005-05,0.03
2005-06,0.0304
2005-07,0.0326
2005-08,0.035
2005-09,0.0362
2005-10,0.0378
2005-11,0.04
2005-12,0.0416
2006-01,0.0429
2006-02,0.0449
2006-03,0.0459
2006-04,0.0479
2006-05,0.0494
2006-06,0.0499
2006-07,0.0524
2006-08,0.0525
2006-09,0.0525
2006-10,0.0525
2006-11,0.0525
2006-12,0.0524
2007-01,0.0525
2007-02,0.0526
2007-03,0.0526
2007-04,0.0525
2007-05,0.0525
2007-06,0.0525
2007-07,0.0526
2007-08,0.0502
2007-09,0.0494
2007-10,0.0476
2007-11,0.0449
2007-12,0.0424
2008-01,0.0394
2008-02,0.0298
2008-03,0.0261
2008-04,0.0228
2008-05,0.0198
2008-06,0.02
2008-07,0.0201
2008-08,0.02
2008-09,0.0181
2008-10,0.0097
2008-11,0.0039
2008-12,0.0016
2009-01,0.0015
2009-02,0.0022
2009-03,0.0018
2009-04,0.0015
2009-05,0.0018
2009-06,0.0021
2009-07,0.0016
2009-08,0.0016
2009-09,0.0015
2009-10,0.0012
2009-11,0.0012
2009-12,0.0012
2010-01,0.0011
2010-02,0.0013
2010-03,0.0016
2010-04,0.002
2010-05,0.002
2010-06,0.0018
2010-07,0.0018
2010-08,0.0019
2010-09,0.0019
2010-10,0.0019
2010-11,0.0019
2010-12,0.0018
2011-01,0.0017
2011-02,0.0016
2011-03,0.0014
2011-04,0.001
2011-05,0.0009
2011-06,0.0009
2011-07,0.0007
2011-08,0.001
2011-09,0.0008
2011-10,0.0007
2011-11,0.0008
2011-12,0.0007
2012-01,0.0008
2012-02,0.001
2012-03,0.0013
2012-04,0.0014
2012-05,0.0016
2012-06,0.0016
2012-07,0.0016
2012-08,0.0013
2012-09,0.0014
2012-10,0.0016
2012-11,0.0016
2012-12,0.0016
2013-01,0.0014
2013-02,0.0015
2013-03,0.0014
2013-04,0.0015
2013-05,0.0011
2013-06,0.0009
2013-07,0.0009
2013-08,0.0008
2013-09,0.0008
2013-10,0.0009
2013-11,0.0008
2013-12,0.0009
2014-01,0.0007
2014-02,0.0007
2014-03,0.0008
2014-04,0.0009
2014-05,0.0009
2014-06,0.001
2014-07,0.0009
2014-08,0.0009
2014-09,0.0009
2014-10,0.0009
2014-11,0.0009
2014-12,0.0012
2015-01,0.0011
2015-02,0.0011
2015-03,0.0011
2015-04,0.0012
2015-05,0.0012
2015-06,0.0013
2015-07,0.0013
2015-08,0.0014
2015-09,0.0014
2015-10,0.0012
2015-11,0.0012
2015-12,0.0024
2016-01,0.0034
2016-02,0.0038
2016-03,0.0036
2016-04,0.0037
2016-05,0.0037
2016-06,0.0038
2016-07,0.0039
2016-08,0.004
2016-09,0.004
2016-10,0.004
2016-11,0.0041
2016-12,0.0054
2017-01,0.0065
2017-02,0.0066
2017-03,0.0079
2017-04,0.009
2017-05,0.0091
2017-06,0.0104
2017-07,0.0115
2017-08,0.0116
2017-09,0.0115
2017-10,0.0115
2017-11,0.0116
2017-12,0.013
2018-01,0.0141
2018-02,0.0142
2018-03,0.0151
2018-04,0.0169
2018-05,0.017
2018-06,0.0182
2018-07,0.0191
2018-08,0.0191
2018-09,0.0195
2018-10,0.0219
2018-11,0.022
2018-12,0.0227
2019-01,0.024
2019-02,0.024
2019-03,0.0241
2019-04,0.0242
2019-05,0.0239
2019-06,0.0238
2019-07,0.024
2019-08,0.0213
2019-09,0.0204
2019-10,0.0183
2019-11,0.0155
2019-12,0.0155
2020-01,0.0155
2020-02,0.0158
2020-03,0.0065
2020-04,0.0005
2020-05,0.0005
2020-06,0.0008
2020-07,0.0009
2020-08,0.001
2020-09,0.0009
2020-10,0.0009
2020-11,0.0009
2020-12,0.0009
2021-01,0.0009
2021-02,0.0008
2021-03,0.0007
2021-04,0.0007
2021-05,0.0006
2021-06,0.0008
2021-07,0.001
2021-08,0.0009
2021-09,0.0008
2021-10,0.0008
2021-11,0.0008
2021-12,0.0008
2022-01,0.0008
2022-02,0.0008
2022-03,0.002
2022-04,0.0033
2022-05,0.0077
2022-06,0.0121
2022-07,0.0168
2022-08,0.0233
2022-09,0.0256
2022-10,0.0308
2022-11,0.0378
2022-12,0.041
2023-01,0.0433
2023-02,0.0457
2023-03,0.0465
2023-04,0.0483
2023-05,0.0506
2023-06,0.0508
2023-07,0.0512
2023-08,0.0533
2023-09,0.0533
2023-10,0.0533
2023-11,0.0533
2023-12,0.0533
2024-01,0.0533
2024-02,0.0533
2024-03,0.0533
2024-04,0.0533
2024-05,0.0533
2024-06,0.0533
2024-07,0.0533
2024-08,0.0533
2024-09,0.0513
2024-10,0.0483
2024-11,0.0464
2024-12,0.0448
2025-01,0.0433
2025-02,0.0433
2025-03,0.0433
2025-04,0.0433
2025-05,0.0433
2025-06,0.0433
2025-07,0.0433
2025-08,0.0433
2025-09,0.0422
2025-10,0.0409
2025-11,0.0388
2025-12,0.0372
2026-01,0.0364